Sr No,date,startup,vertical,subvertical,city,investors,round,amount,year,month
914,2017-04-26,Flytxt,Software,Customer Data Analytics Software,Mumbai,DAH Beteiligungs GmbH,Unknown,90.75,2017,4
915,2017-04-26,Howdy Ventures,Software,Public And Private Events Creation App,Chennai,S. Xavier Britto,Seed Funding,12.375,2017,4
916,2017-04-26,Stalkbuylove,E-Commerce,Online Fashion Marketplace,Delhi,Trifecta Capital,Unknown,8.25,2017,4
917,2017-04-26,Zipgo,Software,Bus Pooling Services Platform,Bangalore,"Orios Ventures Partners, Team Builder Ventures, Omidyar Networks",Unknown,0.0,2017,4
918,2017-04-27,Scootsy,Software,On-Demand Food Delivery,Mumbai,"Agnus Capital, Khattar Holdings",Unknown,29.7,2017,4
919,2017-04-27,Autobix,Software,Software Solutions For Auto Dealership,Pune,GardX International,Seed Funding,0.0,2017,4
920,2017-04-27,Eshiksha,Software,Education Institution Management Solutions,Jaipur,Cross Border Angels & Experts,Seed Funding,0.0,2017,4
921,2017-04-27,Inurture,Software,Online Educational Courses,Bangalore,BlackSoil Capital Pvt. Ltd,Unknown,12.375,2017,4
922,2017-04-28,Sepalika,Software,Healthcare Related Content Platform,Delhi,Accel Partners,Seed Funding,6.1875,2017,4
923,2017-04-28,Mintwalk,Software,Fiothercial Advisory Mobile App,Mumbai,Poshika Financial Ecosystem,Seed Funding,0.0,2017,4
924,2017-04-29,Qriyo,Software,Tutor Discovery  Booking Platform,Jaipur,NB Ventures,Unknown,0.0,2017,4
925,2017-03-01,Ola,Software,App Based Cab Aggregator,Bangalore,SoftBank Group Corp,Unknown,2722.5,2017,3
926,2017-03-01,Elong,Software,Online Jon Portal,Bangalore,Sequoia Capital India,Unknown,82.5,2017,3
927,2017-03-01,Seenit,Software,Ai Based Fashion Search Portal,Kolkata,"Calcutta Angels Network (CAN), Augment Ventures",Seed Funding,0.0,2017,3
928,2017-03-01,Paalak,E-Commerce,Fresh Produce Selling Portal,Delhi,"Vishwadeep Bajaj, Harsh Kundra, Nandkumar Rane, LN Buddharaju, Anupam Tyagi",Seed Funding,0.0,2017,3
929,2017-03-02,Celes Care,Software,Women Healthcare  Information Portal,Hyderabad,"Ventureast, Endiya Partners, Eight Roads Ventures, F-Prime Capital Partners",Unknown,12.375,2017,3
930,2017-03-02,Karomi,Software,Packaging Artwork Management Software,Chennai,Ideaspring Capital,Seed Funding,4.125,2017,3
931,2017-03-02,Red Carpet,Software,Micro Lending Platform,Gurgaon,Lightspeed Venture Partners,Unknown,20.625,2017,3
932,2017-03-02,Kreate Konnect,Software,End-To-End Seller E-Commerce Solutions Provider,Vadodara,Langoor,Seed Funding,0.0,2017,3
933,2017-03-02,Creditmantri,Software,Online Credit Score  Lending Platform,Chennai,Quona Capital,Unknown,62.7,2017,3
934,2017-03-03,Lets Endorse,Software,Online Ecosystem Of Social Innovators,Bangalore,"Chandigarh Angels Network, Social Alpha and other unnamed angel investors",Seed Funding,0.0,2017,3
935,2017-03-03,Tydy,Software,Employee Onboarding And Engagement Platform,Bangalore,"Bhupen Shah, Jayesh Parekh, Sanjay Sathe",Seed Funding,2.26875,2017,3
936,2017-03-03,Nactus,Software,Professional Tutors Discovery  Booking Mobile App,Jaipur,"Sandeep Aggarwal, Gautam Chhaochharia, R Balachandar",Seed Funding,0.0,2017,3
937,2017-03-03,Oho Shop,Software,Ecommerce Mobile App Builder,Ahmedabad,"Bennett, Coleman and Company Ltd",Unknown,55.275,2017,3
938,2017-03-03,Emojifi,Software,Mobile App For Live Emoji,Hyderabad,Undisclosed angel investors,Seed Funding,0.0,2017,3
939,2017-03-03,Paytm,E-Commerce,Ecommerce Marketplace,Bangalore,Alibaba,Unknown,1650.0,2017,3
940,2017-03-04,Igenetics,Healthcare & Hospitality,Health Diagnostic Solutions,Mumbai,CDC Group Plc,Unknown,160.875,2017,3
941,2017-03-06,Juno Clinic,Software,Online Counseling Platform,Mumbai,Atul Nishar,Seed Funding,9.9,2017,3
942,2017-03-06,Summerlabel,Software,Fashion And Lifestyle Discovery Platform,Gurgaon,"Aneesh Seth, Tushar Mittal",Seed Funding,1.2375,2017,3
943,2017-03-06,Pickme,Software,Gadget Insurance  Repair Services Platform,Mumbai,SIDBI Venture Capital Fund,Unknown,14.7675,2017,3
944,2017-03-07,Agrostar,Software,Direct-To-Farmer Mobile-Based Retail Platform,Pune,Accel Partners,Unknown,82.5,2017,3
945,2017-03-07,Zapr,Software,Dsp Tv Analytics  Cross-Platform Advertising,Bangalore,Star India Pvt Ltd,Unknown,82.5,2017,3
946,2017-03-07,Data Resolve,Software,Cyber Security Solutions,Noida,IDFC Parampara Early Stage Opportunities Fund,Unknown,8.25,2017,3
947,2017-03-07,Book Servicing,Software,Online Vehicle Services Booking Platform,Delhi,National Science and Technology Entrepreneurship Development Board,Seed Funding,0.2475,2017,3
948,2017-03-07,Blowhorn,Software,Intra-City Logistics Provider,Bangalore,"IDG Ventures India, Michael & Susan Dell Foundation, Draper Associates, Unitus Seed Fund",Unknown,30.1125,2017,3
949,2017-03-08,Rivigo,Logistics,Technology Enabled Logistics Company,Gurgaon,Private Sector Banks (Debt Funding),Unknown,123.75,2017,3
950,2017-03-08,Pipecandy,Software,Intelligent Sales Prospecting Platform,Chennai,"IDG ventures, Axilor Ventures, Emergent Ventures, Indian Angel Network",Seed Funding,9.075,2017,3
951,2017-03-08,Supr Daily,Software,Subscription Based Home Delivery Platform,Mumbai,Y Combinator,Seed Funding,0.99,2017,3
952,2017-03-08,Parentune,Software,Online Community For Parents,Gurgaon,"Kae Capital, SEGNEL Ventures",Unknown,0.0,2017,3
953,2017-03-09,Appbrowzer,Software,Instant Mobile Apps Store,Bangalore,Deepak Gurnani,Seed Funding,4.125,2017,3
